sample,input,filtered,denoisedF,denoisedR,merged,nosingletons,nochimeras,percent_singletons,percent_chimeras,percent_retained_of_total
tdna038-Rep3-MiFish-U_S150_L001_R1_001.fastq.gz,111388,105348,105235,103835,101516,101455,97462,0.06008905,3.935735055,87.49775559
tdna039-Rep1-MiFish-U_S39_L001_R1_001.fastq.gz,84979,80693,80369,80096,78678,78648,69393,0.0381301,11.76762283,81.65899811
tdna039-Rep2-MiFish-U_S95_L001_R1_001.fastq.gz,93803,89288,89156,88063,86664,86538,78050,0.145389089,9.808407867,83.20629404
tdna039-Rep3-MiFish-U_S151_L001_R1_001.fastq.gz,76505,73535,73347,73114,70973,70803,50611,0.239527708,28.5185656,66.15384615
tdna040-Rep1-MiFish-U_S40_L001_R1_001.fastq.gz,60492,57068,57019,56790,56012,55904,39519,0.192815825,29.30917287,65.32929974
tdna040-Rep2-MiFish-U_S96_L001_R1_001.fastq.gz,47925,45422,45374,45116,44298,44293,43099,0.011287191,2.695685549,89.93009911
tdna040-Rep3-MiFish-U_S152_L001_R1_001.fastq.gz,91532,86700,86646,86047,85021,84913,81768,0.12702744,3.703790939,89.33269239
tdna041-Rep1-MiFish-U_S41_L001_R1_001.fastq.gz,89016,84157,83994,83278,81735,81589,68472,0.178626048,16.07692213,76.92100297
tdna041-Rep2-MiFish-U_S97_L001_R1_001.fastq.gz,62111,58551,58506,58359,57600,57554,52305,0.079861111,9.12013066,84.21213634
tdna041-Rep3-MiFish-U_S153_L001_R1_001.fastq.gz,80432,76957,76886,76529,72809,72805,64489,0.005493826,11.42229242,80.17828725
tdna042-Rep1-MiFish-U_S42_L001_R1_001.fastq.gz,80975,76504,76239,75332,73292,73128,56024,0.223762484,23.38912592,69.18678605
tdna042-Rep2-MiFish-U_S98_L001_R1_001.fastq.gz,93611,87341,87068,86502,83939,83732,73925,0.246607656,11.71236803,78.97042014
tdna042-Rep3-MiFish-U_S154_L001_R1_001.fastq.gz,65828,61888,61710,61082,60634,60567,57052,0.11049906,5.80349035,86.66828705
tdna044-Rep1-MiFish-U_S43_L001_R1_001.fastq.gz,78744,75319,75192,74376,73083,72989,61294,0.128620883,16.02296236,77.83958143
tdna044-Rep2-MiFish-U_S99_L001_R1_001.fastq.gz,95564,90251,90087,89026,88172,88105,71920,0.075987842,18.37012655,75.25846553
tdna044-Rep3-MiFish-U_S155_L001_R1_001.fastq.gz,84893,80481,80179,79977,77263,77234,71460,0.037534137,7.47598208,84.17655166
tdna045-Rep1-MiFish-U_S44_L001_R1_001.fastq.gz,102185,96231,96156,95864,94198,94198,77729,0,17.48338606,76.06693742
tdna045-Rep2-MiFish-U_S100_L001_R1_001.fastq.gz,93890,88985,88922,88694,88009,88009,80647,0,8.365053574,85.89519651
