sample	reads.in	reads.out	percentage_retained
tdna051-Rep3-MiFish-U_S162_L001_R1_001.fastq.gz	62483	58890	94.2496359009651
tdna052-Rep1-MiFish-U_S51_L001_R1_001.fastq.gz	71884	68467	95.2465082633131
tdna052-Rep2-MiFish-U_S107_L001_R1_001.fastq.gz	82493	78187	94.7801631653595
tdna052-Rep3-MiFish-U_S163_L001_R1_001.fastq.gz	65111	61758	94.8503325090998
tdna053-Rep1-MiFish-U_S52_L001_R1_001.fastq.gz	90540	85052	93.9385906781533
tdna053-Rep2-MiFish-U_S108_L001_R1_001.fastq.gz	81847	77868	95.1384901095947
tdna053-Rep3-MiFish-U_S164_L001_R1_001.fastq.gz	68452	65080	95.0739204113832
tdna054-Rep1-MiFish-U_S53_L001_R1_001.fastq.gz	98363	93385	94.9391539501642
tdna054-Rep2-MiFish-U_S109_L001_R1_001.fastq.gz	93401	89129	95.4261731673108
tdna054-Rep3-MiFish-U_S165_L001_R1_001.fastq.gz	68576	65666	95.7565328978068
tdna055-Rep1-MiFish-U_S54_L001_R1_001.fastq.gz	92544	85491	92.378760373444
tdna055-Rep2-MiFish-U_S110_L001_R1_001.fastq.gz	91934	87142	94.7875649922771
tdna055-Rep3-MiFish-U_S166_L001_R1_001.fastq.gz	94284	89371	94.789147681473
tdna056-Rep1-MiFish-U_S55_L001_R1_001.fastq.gz	66286	62656	94.5237305011616
tdna056-Rep2-MiFish-U_S111_L001_R1_001.fastq.gz	81027	77801	96.0186110802572
tdna056-Rep3-MiFish-U_S167_L001_R1_001.fastq.gz	133268	128068	96.0980880631509
tdna057-Rep1-MiFish-U_S56_L001_R1_001.fastq.gz	68650	64522	93.98689002185
tdna057-Rep2-MiFish-U_S112_L001_R1_001.fastq.gz	76627	72919	95.1609745912015
tdna057-Rep3-MiFish-U_S168_L001_R1_001.fastq.gz	52819	50394	95.4088490883962
