row_names	input	filtered	denoisedF	denoisedR	merged	nosingletons	nochimeras	percent_singletons	percent_chimeras	percent_retained_of_total
tdna037-Rep2-MiFish-U_S93_L001_R1_001.fastq.gz	105410	100688	100609	99541	96245	96073	84501	0.178710582367913	12.0450074422574	80.1641210511337
tdna037-Rep3-MiFish-U_S149_L001_R1_001.fastq.gz	86451	82266	82190	81407	80669	80613	76341	0.0694194796018337	5.29939339808716	88.3055141062567
tdna038-Rep1-MiFish-U_S38_L001_R1_001.fastq.gz	146202	137787	137651	136373	134174	133713	101732	0.343583704741604	23.9176445072655	69.5831794366698
tdna038-Rep2-MiFish-U_S94_L001_R1_001.fastq.gz	108771	101972	101850	100985	61882	61855	53711	0.0436314275556668	13.1662759679896	49.3798898603488
tdna038-Rep3-MiFish-U_S150_L001_R1_001.fastq.gz	111388	105348	105235	103835	101516	101455	97462	0.0600890500019631	3.93573505495047	87.4977555930621
tdna039-Rep1-MiFish-U_S39_L001_R1_001.fastq.gz	84979	80693	80369	80096	78678	78648	69393	0.0381300999008545	11.7676228257553	81.6589981054143
tdna039-Rep2-MiFish-U_S95_L001_R1_001.fastq.gz	93803	89288	89156	88063	86664	86538	78050	0.145389088895044	9.80840786706419	83.2062940417684
tdna039-Rep3-MiFish-U_S151_L001_R1_001.fastq.gz	76505	73535	73347	73114	70973	70803	50611	0.23952770771983	28.5185655975029	66.1538461538461
tdna040-Rep1-MiFish-U_S40_L001_R1_001.fastq.gz	60492	57068	57019	56790	56012	55904	39519	0.192815825180318	29.3091728677733	65.3292997421147
tdna040-Rep2-MiFish-U_S96_L001_R1_001.fastq.gz	47925	45422	45374	45116	44298	44293	43099	0.0112871912953239	2.69568554850653	89.9300991131977
tdna040-Rep3-MiFish-U_S152_L001_R1_001.fastq.gz	91532	86700	86646	86047	85021	84913	81768	0.127027440279463	3.70379093896105	89.3326923917319
tdna041-Rep1-MiFish-U_S41_L001_R1_001.fastq.gz	89016	84157	83994	83278	81735	81589	68472	0.178626047592829	16.0769221341112	76.921002965759
tdna041-Rep2-MiFish-U_S97_L001_R1_001.fastq.gz	62111	58551	58506	58359	57600	57554	52305	0.0798611111111143	9.120130659902	84.2121363365587
tdna041-Rep3-MiFish-U_S153_L001_R1_001.fastq.gz	80432	76957	76886	76529	72809	72805	64489	0.00549382631268713	11.4222924249708	80.1782872488562
tdna042-Rep1-MiFish-U_S42_L001_R1_001.fastq.gz	80975	76504	76239	75332	73292	73128	56024	0.223762484309347	23.3891259162017	69.1867860450756
tdna042-Rep2-MiFish-U_S98_L001_R1_001.fastq.gz	93611	87341	87068	86502	83939	83732	73925	0.246607655559387	11.7123680313381	78.9704201429319
tdna042-Rep3-MiFish-U_S154_L001_R1_001.fastq.gz	65828	61888	61710	61082	60634	60567	57052	0.11049905993336	5.80349034953028	86.6682870511029
tdna044-Rep1-MiFish-U_S43_L001_R1_001.fastq.gz	78744	75319	75192	74376	73083	72989	61294	0.128620883105512	16.0229623641919	77.8395814284263
tdna044-Rep2-MiFish-U_S99_L001_R1_001.fastq.gz	95564	90251	90087	89026	88172	88105	71920	0.0759878419452917	18.3701265535441	75.2584655309531
tdna044-Rep3-MiFish-U_S155_L001_R1_001.fastq.gz	84893	80481	80179	79977	77263	77234	71460	0.0375341366501374	7.4759820804309	84.1765516591474
tdna045-Rep1-MiFish-U_S44_L001_R1_001.fastq.gz	102185	96231	96156	95864	94198	94198	77729	0	17.483386059152	76.0669374174292
tdna045-Rep2-MiFish-U_S100_L001_R1_001.fastq.gz	93890	88985	88922	88694	88009	88009	80647	0	8.36505357406628	85.8951965065502
tdna045-Rep3-MiFish-U_S156_L001_R1_001.fastq.gz	93210	89006	88945	87656	85943	85860	80554	0.0965756373410187	6.17982762636851	86.4220577191289
tdna046-Rep1-MiFish-U_S45_L001_R1_001.fastq.gz	62460	59134	59074	58405	58370	58325	53228	0.0770943978071017	8.73896270895843	85.2193403778418
tdna046-Rep2-MiFish-U_S101_L001_R1_001.fastq.gz	71887	68115	67995	67306	65593	65494	53852	0.150930739560636	17.7756741075518	74.9120146897214
tdna046-Rep3-MiFish-U_S157_L001_R1_001.fastq.gz	91729	87731	87391	86493	85175	85111	77859	0.0751394188435626	8.52063775540176	84.8793729354948
tdna047-Rep1-MiFish-U_S46_L001_R1_001.fastq.gz	90257	84073	83780	83017	81826	81791	67508	0.042773690514025	17.4628015307308	74.7953067352117
tdna047-Rep2-MiFish-U_S102_L001_R1_001.fastq.gz	110138	104398	104281	103545	101830	101628	85676	0.19836983207307	15.6964616050695	77.7896820352648
tdna047-Rep3-MiFish-U_S158_L001_R1_001.fastq.gz	94682	90466	90342	89695	88185	87823	81523	0.410500652038323	7.17351946528814	86.101898988192
tdna048-Rep1-MiFish-U_S47_L001_R1_001.fastq.gz	69107	65617	65452	65243	62831	62751	27383	0.127325683181866	56.3624484071967	39.6240612383695
tdna048-Rep2-MiFish-U_S103_L001_R1_001.fastq.gz	93743	88945	88546	88762	87083	87083	81106	0	6.86356694188302	86.5195267913338
tdna048-Rep3-MiFish-U_S159_L001_R1_001.fastq.gz	77780	74303	74241	74163	73991	73987	70699	0.00540606289953871	4.44402395015341	90.8961172537928
tdna049-Rep1-MiFish-U_S48_L001_R1_001.fastq.gz	79228	75608	75532	74795	72647	72565	58699	0.112874585323553	19.1083855853373	74.0887060130257
tdna049-Rep2-MiFish-U_S104_L001_R1_001.fastq.gz	63654	60550	60437	59958	58902	58862	49776	0.0679094088485925	15.436104787469	78.1977566217363
tdna049-Rep3-MiFish-U_S160_L001_R1_001.fastq.gz	32861	31314	31269	31028	30685	30685	27684	0	9.78002281244908	84.2457624539728
tdna050-Rep1-MiFish-U_S49_L001_R1_001.fastq.gz	83413	78394	78242	77413	76889	76686	62586	0.264016959513071	18.3866677098818	75.0314699147615
tdna050-Rep2-MiFish-U_S105_L001_R1_001.fastq.gz	82312	78004	77879	77299	75685	75593	63012	0.121556451080124	16.643075417036	76.5526290212849
tdna050-Rep3-MiFish-U_S161_L001_R1_001.fastq.gz	77241	73679	73620	73005	72671	72626	64297	0.0619229128538166	11.4683446699529	83.2420605636903
tdna051-Rep1-MiFish-U_S50_L001_R1_001.fastq.gz	60465	56683	56495	56087	55464	55358	44154	0.191114957449884	20.2391704902634	73.0240635078144
tdna051-Rep2-MiFish-U_S106_L001_R1_001.fastq.gz	94138	88752	88552	87793	86501	86414	74139	0.100576871943687	14.2048742101974	78.7556565892626
tdna051-Rep3-MiFish-U_S162_L001_R1_001.fastq.gz	62483	58890	58777	58240	57081	56983	48601	0.171685849932558	14.7096502465648	77.7827569098795
tdna052-Rep1-MiFish-U_S51_L001_R1_001.fastq.gz	71884	68467	68312	67781	67291	67271	55012	0.0297216566851404	18.2233057335256	76.5288520393968
tdna052-Rep2-MiFish-U_S107_L001_R1_001.fastq.gz	82493	78187	78081	77336	76189	75931	61577	0.338631560986485	18.9040049518642	74.6451214042404
tdna052-Rep3-MiFish-U_S163_L001_R1_001.fastq.gz	65111	61758	61473	61072	60558	60558	52204	0	13.7950394662968	80.176928629571
tdna053-Rep1-MiFish-U_S52_L001_R1_001.fastq.gz	90540	85052	84939	84318	82897	82897	66839	0	19.3710266957791	73.8226198365363
tdna053-Rep2-MiFish-U_S108_L001_R1_001.fastq.gz	81847	77868	77698	76968	76052	76052	65444	0	13.9483511281755	79.958947792833
tdna053-Rep3-MiFish-U_S164_L001_R1_001.fastq.gz	68452	65080	64938	64290	61310	61298	58429	0.0195726635132871	4.68041371659761	85.3576228598142
tdna054-Rep1-MiFish-U_S53_L001_R1_001.fastq.gz	98363	93385	92531	92487	90043	89859	67796	0.204346812078668	24.5529106711626	68.9242906377398
tdna054-Rep2-MiFish-U_S109_L001_R1_001.fastq.gz	93401	89129	88800	88193	86737	86431	69971	0.352790619919986	19.0440929758999	74.914615475209
tdna054-Rep3-MiFish-U_S165_L001_R1_001.fastq.gz	68576	65666	65544	64869	63409	63244	53904	0.260215426832161	14.7681993548795	78.6047596826878
tdna055-Rep1-MiFish-U_S54_L001_R1_001.fastq.gz	92544	85491	85301	84040	82185	82033	72437	0.184948591592132	11.6977314007777	78.2730376901798
tdna055-Rep2-MiFish-U_S110_L001_R1_001.fastq.gz	91934	87142	87093	86894	85153	85138	75990	0.017615351191381	10.744908266579	82.6571235886614
tdna055-Rep3-MiFish-U_S166_L001_R1_001.fastq.gz	94284	89371	89315	89154	87345	87266	83598	0.0904459327952338	4.20324066646805	88.6661575665012
tdna056-Rep1-MiFish-U_S55_L001_R1_001.fastq.gz	66286	62656	62498	62124	60762	60636	47775	0.207366446134088	21.2101721749456	72.0740427842983
tdna056-Rep2-MiFish-U_S111_L001_R1_001.fastq.gz	81027	77801	77639	76997	75649	75530	60541	0.157305450171179	19.8450946643718	74.717069618769
tdna056-Rep3-MiFish-U_S167_L001_R1_001.fastq.gz	133268	128068	127925	127053	125130	124781	107062	0.278909933668984	14.2000785375979	80.3358645736411
tdna057-Rep1-MiFish-U_S56_L001_R1_001.fastq.gz	68650	64522	64379	63722	62680	62634	49734	0.0733886407147395	20.5958425136507	72.4457392571012
tdna057-Rep2-MiFish-U_S112_L001_R1_001.fastq.gz	76627	72919	72445	72008	70510	70284	56411	0.320521911785562	19.7384895566559	73.6176543515993
tdna057-Rep3-MiFish-U_S168_L001_R1_001.fastq.gz	52819	50394	50273	49829	49184	49128	40871	0.113858165257	16.8071161048689	77.3793521270755
