kingdom,phylum,order,family,genus,species,old_species,kingdom_id,phylum_id,order_id,family_id,genus_id,species_id,class,class_id,ids
Animalia,Chordata,Squaliformes,Squalidae,Squalus,Squalus acanthias,Squalus acanthias,1,44,883,5872,2420869,5216368,Elasmobranchii,121,Squalus acanthias
Animalia,Chordata,Squaliformes,Squalidae,Squalus,Squalus suckleyi,Squalus suckleyi,1,44,883,5872,2420869,5216380,Elasmobranchii,121,Squalus suckleyi
Animalia,Chordata,Scorpaeniformes,Sebastidae,Sebastes,Sebastes entomelas,Sebastes entomelas,1,44,590,8633,2333712,2335516,NA,NA,Sebastes entomelas
Animalia,Chordata,Scorpaeniformes,Hexagrammidae,Hexagrammos,Hexagrammos decagrammus,Hexagrammos decagrammus,1,44,590,8626,2336463,2336472,NA,NA,Hexagrammos decagrammus
Animalia,Chordata,Scorpaeniformes,Cottidae,Oligocottus,Oligocottus maculosus,Oligocottus maculosus,1,44,590,8621,2333736,2333746,NA,NA,Oligocottus maculosus
Animalia,Chordata,Scorpaeniformes,Cottidae,Oligocottus,Oligocottus snyderi,Oligocottus snyderi,1,44,590,8621,2333736,2333742,NA,NA,Oligocottus snyderi
Animalia,Chordata,Pleuronectiformes,Paralichthyidae,Citharichthys,Citharichthys sordidus,Citharichthys sordidus,1,44,588,5082,2408301,2408726,NA,NA,Citharichthys sordidus
Animalia,Chordata,Perciformes,Stichaeidae,Anoplarchus,Anoplarchus purpurescens,Anoplarchus purpurescens,1,44,587,8598,2394913,2394914,NA,NA,Anoplarchus purpurescens
Animalia,Chordata,Perciformes,Stichaeidae,Anoplarchus,Anoplarchus insignis,Anoplarchus insignis,1,44,587,8598,2394913,2394916,NA,NA,Anoplarchus insignis
Animalia,Chordata,Perciformes,Cryptacanthodidae,Cryptacanthodes,Cryptacanthodes aleutensis,Cryptacanthodes aleutensis,1,44,587,4264,2387403,2387413,NA,NA,Cryptacanthodes aleutensis
