sample,reads_in,reads_out,percentage_retained
tdna019-Rep2-MiFish-U_S75_,86172,82375,95.5936963282737
tdna019-Rep3-MiFish-U_S131_,91892,86732,94.3847124885735
tdna020-Rep1-MiFish-U_S20_,139301,133193,95.6152504289273
tdna020-Rep2-MiFish-U_S76_,86932,82409,94.7970827773432
tdna020-Rep3-MiFish-U_S132_,95458,90830,95.1517945064845
tdna021-Rep1-MiFish-U_S21_,94129,90227,95.8546250358551
tdna021-Rep2-MiFish-U_S77_,116594,111315,95.472322761034
tdna021-Rep3-MiFish-U_S133_,100829,96035,95.2454155054597
tdna022-Rep1-MiFish-U_S22_,73152,69448,94.9365704286964
tdna022-Rep2-MiFish-U_S78_,89391,84183,94.1739101251804
tdna022-Rep3-MiFish-U_S134_,89349,84965,95.0933977996396
tdna023-Rep1-MiFish-U_S23_,81261,78027,96.0202311071732
tdna023-Rep2-MiFish-U_S79_,68144,64683,94.921049542146
tdna023-Rep3-MiFish-U_S135_,76409,73260,95.8787577379628
tdna024-Rep1-MiFish-U_S24_,103177,99207,96.1522432325034
tdna024-Rep2-MiFish-U_S80_,66559,61902,93.0032001682718
tdna024-Rep3-MiFish-U_S136_,75805,72532,95.6823428533738
tdna025-Rep1-MiFish-U_S25_,207931,197967,95.2080257393078
tdna025-Rep2-MiFish-U_S81_,104428,99809,95.5768567817061
tdna025-Rep3-MiFish-U_S137_,83148,79025,95.0413720113532
tdna026-Rep1-MiFish-U_S26_,19501,18189,93.272139890262
tdna026-Rep2-MiFish-U_S82_,76832,73065,95.0970949604332
tdna026-Rep3-MiFish-U_S138_,85095,79784,93.758740231506
tdna027-Rep1-MiFish-U_S27_,118144,110586,93.6027221018418
tdna027-Rep2-MiFish-U_S83_,62075,59055,95.1349174385824
tdna027-Rep3-MiFish-U_S139_,83722,78040,93.2132533862067
tdna028-Rep1-MiFish-U_S28_,140566,133393,94.8970590327675
tdna028-Rep2-MiFish-U_S84_,85479,81348,95.1672340574878
tdna028-Rep3-MiFish-U_S140_,99321,94507,95.1530894775526
tdna029-Rep1-MiFish-U_S29_,43591,39370,90.3168085155193
tdna029-Rep2-MiFish-U_S85_,80511,77286,95.9943361776652
tdna029-Rep3-MiFish-U_S141_,88546,83739,94.571183339733
tdna030-Rep1-MiFish-U_S30_,65825,61717,93.7592100265856
tdna030-Rep2-MiFish-U_S86_,100830,94885,94.103937320242
tdna030-Rep3-MiFish-U_S142_,98047,92663,94.5087560047732
tdna031-Rep1-MiFish-U_S31_,83530,79875,95.6243265892494
tdna031-Rep2-MiFish-U_S87_,41078,38785,94.4179366084035
tdna031-Rep3-MiFish-U_S143_,64129,60872,94.9211745076331
tdna032-Rep1-MiFish-U_S32_,68828,65493,95.1545882489684
tdna032-Rep2-MiFish-U_S88_,45114,42951,95.2054794520548
tdna032-Rep3-MiFish-U_S144_,105820,100390,94.8686448686449
tdna033-Rep1-MiFish-U_S33_,92213,87838,95.2555496513507
tdna033-Rep2-MiFish-U_S89_,41696,39115,93.809957789716
tdna033-Rep3-MiFish-U_S145_,88051,83589,94.9324823113877
tdna034-Rep1-MiFish-U_S34_,91205,86714,95.0759278548325
tdna034-Rep2-MiFish-U_S90_,101448,96395,95.0191230975475
tdna034-Rep3-MiFish-U_S146_,61276,57507,93.8491415888766
tdna035-Rep1-MiFish-U_S35_,88355,84308,95.4196140569294
tdna035-Rep2-MiFish-U_S91_,491,322,65.5804480651731
tdna035-Rep3-MiFish-U_S147_,66447,62917,94.6874952970036
tdna036-Rep1-MiFish-U_S36_,6515,5832,89.5165003837299
tdna036-Rep2-MiFish-U_S92_,98939,93634,94.6381103508222
tdna036-Rep3-MiFish-U_S148_,38356,36216,94.4206903743873
tdna037-Rep1-MiFish-U_S37_,94437,90455,95.7834323411375
tdna037-Rep2-MiFish-U_S93_,105410,100688,95.5203491129874
tdna037-Rep3-MiFish-U_S149_,86451,82266,95.1591074712843
tdna038-Rep1-MiFish-U_S38_,146202,137787,94.2442647843395
tdna038-Rep2-MiFish-U_S94_,108771,101972,93.7492530178081
tdna038-Rep3-MiFish-U_S150_,111388,105348,94.5775128380077
tdna039-Rep1-MiFish-U_S39_,84979,80693,94.9564009931865
tdna039-Rep2-MiFish-U_S95_,93803,89288,95.1867211070008
tdna039-Rep3-MiFish-U_S151_,76505,73535,96.117900790798
tdna040-Rep1-MiFish-U_S40_,60492,57068,94.3397474046155
tdna040-Rep2-MiFish-U_S96_,47925,45422,94.7772561293688
tdna040-Rep3-MiFish-U_S152_,91532,86700,94.7209719005375
tdna041-Rep1-MiFish-U_S41_,89016,84157,94.5414307540217
tdna041-Rep2-MiFish-U_S97_,62111,58551,94.2683260614062
tdna041-Rep3-MiFish-U_S153_,80432,76957,95.6795802665606
tdna042-Rep1-MiFish-U_S42_,80975,76504,94.4785427601112
tdna042-Rep2-MiFish-U_S98_,93611,87341,93.3020692012691
tdna042-Rep3-MiFish-U_S154_,65828,61888,94.0147049887586
tdna044-Rep1-MiFish-U_S43_,78744,75319,95.6504622574418
tdna044-Rep2-MiFish-U_S99_,95564,90251,94.4403750366247
tdna044-Rep3-MiFish-U_S155_,84893,80481,94.8028694945402
tdna045-Rep1-MiFish-U_S44_,102185,96231,94.1733131085776
tdna045-Rep2-MiFish-U_S100_,93890,88985,94.7758014698051
tdna045-Rep3-MiFish-U_S156_,93210,89006,95.4897543182062
tdna046-Rep1-MiFish-U_S45_,62460,59134,94.6749919948767
tdna046-Rep2-MiFish-U_S101_,71887,68115,94.7528760415652
tdna046-Rep3-MiFish-U_S157_,91729,87731,95.6415092282702
tdna047-Rep1-MiFish-U_S46_,90257,84073,93.1484538595344
tdna047-Rep2-MiFish-U_S102_,110138,104398,94.7883564255752
tdna047-Rep3-MiFish-U_S158_,94682,90466,95.547200101392
tdna048-Rep1-MiFish-U_S47_,69107,65617,94.9498603614685
tdna048-Rep2-MiFish-U_S103_,93743,88945,94.8817511707541
tdna048-Rep3-MiFish-U_S159_,77780,74303,95.5296991514528
tdna049-Rep1-MiFish-U_S48_,79228,75608,95.4309082647549
tdna049-Rep2-MiFish-U_S104_,63654,60550,95.1236371634147
tdna049-Rep3-MiFish-U_S160_,32861,31314,95.2922917744439
tdna050-Rep1-MiFish-U_S49_,83413,78394,93.9829522976035
tdna050-Rep2-MiFish-U_S105_,82312,78004,94.7662552240257
tdna050-Rep3-MiFish-U_S161_,77241,73679,95.3884594968993
tdna051-Rep1-MiFish-U_S50_,60465,56683,93.7451418175804
tdna051-Rep2-MiFish-U_S106_,94138,88752,94.2786122501009
tdna051-Rep3-MiFish-U_S162_,62483,58890,94.2496359009651
tdna052-Rep1-MiFish-U_S51_,71884,68467,95.2465082633131
tdna052-Rep2-MiFish-U_S107_,82493,78187,94.7801631653595
tdna052-Rep3-MiFish-U_S163_,65111,61758,94.8503325090998
tdna053-Rep1-MiFish-U_S52_,90540,85052,93.9385906781533
tdna053-Rep2-MiFish-U_S108_,81847,77868,95.1384901095947
tdna053-Rep3-MiFish-U_S164_,68452,65080,95.0739204113832
tdna054-Rep1-MiFish-U_S53_,98363,93385,94.9391539501642
tdna054-Rep2-MiFish-U_S109_,93401,89129,95.4261731673108
tdna054-Rep3-MiFish-U_S165_,68576,65666,95.7565328978068
tdna055-Rep1-MiFish-U_S54_,92544,85491,92.378760373444
tdna055-Rep2-MiFish-U_S110_,91934,87142,94.7875649922771
tdna055-Rep3-MiFish-U_S166_,94284,89371,94.789147681473
tdna056-Rep1-MiFish-U_S55_,66286,62656,94.5237305011616
tdna056-Rep2-MiFish-U_S111_,81027,77801,96.0186110802572
tdna056-Rep3-MiFish-U_S167_,133268,128068,96.0980880631509
tdna057-Rep1-MiFish-U_S56_,68650,64522,93.98689002185
tdna057-Rep2-MiFish-U_S112_,76627,72919,95.1609745912015
tdna057-Rep3-MiFish-U_S168_,52819,50394,95.4088490883962
