row_names	input	filtered	denoisedF	denoisedR	merged	nosingletons	nochimeras	percent_singletons	percent_chimeras	percent_retained_of_total
tdna035-Rep2-MiFish-E_S263_L001_R1_001.fastq.gz	13660	13111	13064	12862	12845	12845	8545	0	33.4760607240171	62.5549048316252
tdna035-Rep3-MiFish-E_S319_L001_R1_001.fastq.gz	73955	69673	69590	68794	67554	67511	67158	0.0636527814785239	0.522877753255031	90.809275911027
tdna036-Rep1-MiFish-E_S208_L001_R1_001.fastq.gz	72210	67267	66932	66254	64896	64823	62919	0.112487672583825	2.93722906992888	87.1333610303282
tdna036-Rep2-MiFish-E_S264_L001_R1_001.fastq.gz	12763	12061	12037	11880	11766	11766	11766	0	0	92.1883569693646
tdna036-Rep3-MiFish-E_S320_L001_R1_001.fastq.gz	19901	18576	18514	18164	18097	18091	17889	0.0331546665193088	1.11657730363164	89.8899552786292
tdna037-Rep1-MiFish-E_S209_L001_R1_001.fastq.gz	82902	78319	78229	77542	76846	76838	76143	0.0104104312521116	0.904500377417435	91.8470000723746
tdna037-Rep2-MiFish-E_S265_L001_R1_001.fastq.gz	8123	7740	7716	7621	7609	7609	7609	0	0	93.6722885633387
tdna037-Rep3-MiFish-E_S321_L001_R1_001.fastq.gz	98537	93311	93223	92360	89915	89911	85090	0.00444864594338412	5.36196905829097	86.3533495032323
tdna038-Rep1-MiFish-E_S210_L001_R1_001.fastq.gz	70865	65165	65018	64626	63642	63587	62491	0.0864209170044887	1.72362275307846	88.1831651732167
tdna038-Rep2-MiFish-E_S266_L001_R1_001.fastq.gz	84253	78764	78668	78254	76325	76279	74818	0.0602685882738285	1.91533711768639	88.8015857002125
tdna038-Rep3-MiFish-E_S322_L001_R1_001.fastq.gz	66636	62441	62349	61607	60501	60497	59436	0.00661146096759069	1.75380597384994	89.1950297136683
tdna039-Rep1-MiFish-E_S211_L001_R1_001.fastq.gz	13764	12670	12612	12419	12377	12377	12130	0	1.99563706875657	88.1284510316768
tdna039-Rep2-MiFish-E_S267_L001_R1_001.fastq.gz	16029	15186	15153	15074	15036	15018	15010	0.119712689545096	0.0532694100412812	93.6427724748893
tdna039-Rep3-MiFish-E_S323_L001_R1_001.fastq.gz	6567	6101	6077	5915	5816	5807	4835	0.154745529573589	16.7384191493026	73.6257042789706
tdna040-Rep1-MiFish-E_S212_L001_R1_001.fastq.gz	11022	9089	8977	8618	8583	8575	8575	0.0932075032040132	0	77.7989475594266
tdna040-Rep2-MiFish-E_S268_L001_R1_001.fastq.gz	14822	14073	14030	13836	13817	13810	13810	0.0506622276905233	0	93.172311428957
tdna040-Rep3-MiFish-E_S324_L001_R1_001.fastq.gz	13190	12173	12114	11909	11794	11773	11568	0.178056638968968	1.74127240295591	87.7028051554208
tdna041-Rep1-MiFish-E_S213_L001_R1_001.fastq.gz	178200	167726	167299	165741	162589	162394	159180	0.119934312899389	1.9791371602399	89.3265993265993
tdna041-Rep2-MiFish-E_S269_L001_R1_001.fastq.gz	128967	121626	121487	120255	118939	118863	116660	0.0638983008096545	1.85339424379328	90.4572487535571
tdna041-Rep3-MiFish-E_S325_L001_R1_001.fastq.gz	4059	3688	3639	3560	3525	3523	3513	0.0567375886524815	0.283848992336075	86.5484109386548
tdna042-Rep1-MiFish-E_S214_L001_R1_001.fastq.gz	34386	32125	32034	31487	31169	31158	31150	0.0352914755045077	0.0256755889338223	90.5891932763334
tdna042-Rep2-MiFish-E_S270_L001_R1_001.fastq.gz	27825	25653	25506	25190	24810	24802	24617	0.0322450624748143	0.745907588097737	88.470799640611
tdna042-Rep3-MiFish-E_S326_L001_R1_001.fastq.gz	21255	19790	19720	19334	19104	19101	19101	0.0157035175879372	0	89.8659139026112
tdna044-Rep1-MiFish-E_S215_L001_R1_001.fastq.gz	144820	138223	137911	135289	133028	132981	131382	0.035330907778814	1.20242741444267	90.7208949040188
tdna044-Rep2-MiFish-E_S271_L001_R1_001.fastq.gz	105143	100346	100238	99637	98831	98761	95047	0.0708279790753892	3.76059375664482	90.3978391333707
tdna044-Rep3-MiFish-E_S327_L001_R1_001.fastq.gz	19246	18039	17977	17851	17765	17724	17724	0.230790880945676	0	92.0918632443105
tdna045-Rep1-MiFish-E_S216_L001_R1_001.fastq.gz	201956	189467	189203	186817	181833	181601	179623	0.127589601447482	1.08920105065501	88.9416506565787
tdna045-Rep2-MiFish-E_S272_L001_R1_001.fastq.gz	45314	42714	42604	42273	42039	42035	41417	0.00951497419062264	1.47020340192697	91.400008827294
tdna045-Rep3-MiFish-E_S328_L001_R1_001.fastq.gz	18412	17342	17280	17121	16934	16934	16776	0	0.933034132514464	91.1144905496415
tdna046-Rep1-MiFish-E_S217_L001_R1_001.fastq.gz	18715	17494	17351	16940	16728	16727	16727	0.00597800095647472	0	89.3775046753941
tdna046-Rep2-MiFish-E_S273_L001_R1_001.fastq.gz	5325	4946	4896	4816	4741	4731	4731	0.210925964986288	0	88.8450704225352
tdna046-Rep3-MiFish-E_S329_L001_R1_001.fastq.gz	6316	5925	5873	5786	5674	5671	5666	0.0528727529080015	0.0881678716275758	89.7086763774541
tdna047-Rep1-MiFish-E_S218_L001_R1_001.fastq.gz	448672	420116	419425	413713	407060	405061	399166	0.491082395715608	1.45533635674627	88.9661044148064
tdna047-Rep2-MiFish-E_S274_L001_R1_001.fastq.gz	145575	137590	137479	136537	133010	133010	130294	0	2.04195173295241	89.5030053237163
tdna047-Rep3-MiFish-E_S330_L001_R1_001.fastq.gz	272491	259632	258823	257518	247732	247699	242396	0.0133208467214558	2.14090488859463	88.9555985335295
tdna048-Rep1-MiFish-E_S219_L001_R1_001.fastq.gz	174455	165107	164703	162400	142933	142848	140199	0.0594684222677699	1.8544186827957	80.3639907139377
tdna048-Rep2-MiFish-E_S275_L001_R1_001.fastq.gz	83620	79262	79162	78659	76214	76156	75545	0.0761015036607375	0.802300540994807	90.3432193255202
tdna048-Rep3-MiFish-E_S331_L001_R1_001.fastq.gz	51978	49772	49700	49226	48931	48913	48740	0.0367864952688421	0.353689203279288	93.7704413405672
tdna049-Rep1-MiFish-E_S220_L001_R1_001.fastq.gz	168353	159677	159393	157132	155053	154470	149816	0.376000464357347	3.01288276040655	88.9892072015349
tdna049-Rep2-MiFish-E_S276_L001_R1_001.fastq.gz	161600	152004	151616	150378	147500	147279	144303	0.149830508474579	2.02065467581937	89.2964108910891
tdna049-Rep3-MiFish-E_S332_L001_R1_001.fastq.gz	108235	102643	102351	101484	100477	100371	97984	0.105496780357697	2.37817696346553	90.5289416547327
tdna050-Rep1-MiFish-E_S221_L001_R1_001.fastq.gz	201981	190628	190425	188531	187431	186769	185419	0.35319664303131	0.72281802654615	91.8002188324644
tdna050-Rep2-MiFish-E_S277_L001_R1_001.fastq.gz	72019	68484	68394	67723	67143	66960	66524	0.2725526115902	0.651135005973714	92.3700690095669
tdna050-Rep3-MiFish-E_S333_L001_R1_001.fastq.gz	100595	94681	94568	93438	92755	92731	91812	0.0258746159236694	0.991038595507433	91.2689497489935
